,Overall,KM3_1,KM3_2,KM3_3,KM4_1,KM4_2,KM4_3,KM4_4,KM5_1,KM5_2,KM5_3,KM5_4,KM5_5,KM6_1,KM6_2,KM6_3,KM6_4,KM6_5,KM6_6,KM7_1,KM7_2,KM7_3,KM7_4,KM7_5,KM7_6,KM7_7,KM8_1,KM8_2,KM8_3,KM8_4,KM8_5,KM8_6,KM8_7,KM8_8,KM9_1,KM9_2,KM9_3,KM9_4,KM9_5,KM9_6,KM9_7,KM9_8,KM9_9
Seg_size,8709.0,6157.0,2379.0,173.0,5246.0,91.0,887.0,2485.0,734.0,5176.0,309.0,2456.0,34.0,1771.0,5118.0,193.0,25.0,1078.0,524.0,568.0,26.0,113.0,563.0,484.0,4923.0,2032.0,375.0,462.0,25.0,4906.0,1000.0,338.0,1515.0,88.0,988.0,4904.0,22.0,53.0,426.0,348.0,1461.0,220.0,287.0
Seg_PCT,1.0,0.706969801355,0.273165690665,0.0198645079803,0.602365369158,0.0104489608451,0.101848662303,0.285337007693,0.0842806292341,0.59432770697,0.0354805373751,0.282007119072,0.00390400734872,0.20335285337,0.587667929728,0.0221609828913,0.00287059363876,0.123779997704,0.0601676426685,0.0652198874727,0.00298541738432,0.0129750832472,0.064645768745,0.0555746928465,0.565277299346,0.233321850959,0.0430589045815,0.0530485704444,0.00287059363876,0.563325295671,0.114823745551,0.0388104259961,0.173957974509,0.0101044896085,0.113445860604,0.56309564818,0.00252612240211,0.00608565851418,0.0489149156045,0.0399586634516,0.167757492249,0.0252612240211,0.032954414973
BALANCE,1587.84296986,873.559688619,3194.88673972,4909.72177976,801.15130737,4873.04344671,5323.74340321,1794.79972385,5358.57110019,789.462794713,3961.07341708,1793.43416991,5306.70012806,919.618806616,801.368202305,4389.66415485,5989.3911028,3949.56619714,5427.2991195,1896.18638759,5836.138232,5147.39565022,6913.00233123,1648.80860717,778.126957065,1721.12823124,2130.94815652,1754.58703779,5989.3911028,781.106824051,3844.51128897,8089.2631166,804.018484828,5002.09739897,3896.7111796,779.286614785,5604.71922914,5126.35153991,1421.04940307,1921.19572246,745.736111716,4479.78425594,8407.44115978
BALANCE_FREQUENCY,0.888667698473,0.868379569758,0.93968601177,0.909138456647,0.865931449676,0.856234230769,0.960565239008,0.912189907042,0.956283991826,0.865244890456,0.918943385113,0.914253340798,0.871390352941,0.885170467532,0.867196022665,0.897806906736,0.95963636,0.959549357143,0.957631669847,0.90753634507,0.961188807692,0.88561180531,0.984594106572,0.89935953719,0.865910880154,0.908644457677,0.917100568,0.900588385281,0.95963636,0.866354382593,0.967384245,0.989127970414,0.875814357096,0.869644079545,0.970010736842,0.866125468597,0.954132227273,0.808216924528,0.890373488263,0.915491149425,0.873371057495,0.951363990909,0.998416219512
ONEOFF_PURCHASES,601.02265128,324.848967029,965.438499369,5418.68780347,259.269668319,7324.92571429,1237.61440812,849.032342052,1134.80626703,257.992955951,1804.48873786,801.232911238,15899.1729412,997.534404291,264.905181712,2018.06528497,20749.7792,378.101289425,1519.20582061,2322.98223592,20451.9826923,1045.42946903,694.983765542,1371.34301653,236.191667682,515.349320866,3156.00589333,1275.08861472,20749.7792,244.113520179,325.59697,850.693254438,702.9310033,764.499431818,336.789301619,242.624912316,22779.1890909,1305.44679245,1156.59934272,3614.00183908,672.164784394,400.976181818,1117.6430662
INSTALLMENTS_PURCHASES,418.852330922,303.409295111,585.152063892,2240.5616185,270.581715593,2769.44505495,748.726956032,528.037408451,730.382697548,270.660005796,1077.41139159,504.377528502,4090.48617647,615.095584416,274.153175068,1243.4142487,5064.0236,289.563478664,909.552958015,1012.26839789,5166.95615385,1380.83539823,466.828170515,773.694380165,265.494044282,412.461476378,1413.27696,734.97469697,5064.0236,267.362244191,245.89475,642.488431953,543.95449505,600.24,256.545020243,266.032086052,5463.24,973.265283019,704.378591549,1576.56086207,530.211451061,269.682181818,819.670069686
CASH_ADVANCE,986.117888986,494.006694388,1840.3425775,6753.33228886,461.050480838,7706.66462903,3405.86464156,984.757124507,2399.66768219,455.780483779,6125.08665238,973.307904329,5427.31893515,195.0270527,421.251018935,7654.03438972,1567.81269872,3330.15646235,1871.01612376,1813.32958774,1507.51221031,10186.1407699,4255.30198799,334.292070665,429.967182711,833.483977831,1528.31626968,381.087137636,1567.81269872,417.688782865,2919.62123088,4541.13206357,162.29508105,11933.4367512,2609.41584127,424.228387636,1014.20640077,12521.4655131,374.435010676,705.963077845,155.07208089,7738.02400496,3169.06467287
PURCHASES_FREQUENCY,0.496080298657,0.475533929349,0.54203048802,0.595435763006,0.460598640488,0.62977021978,0.508810347238,0.561544863179,0.53937569891,0.461156183926,0.488311783172,0.55377123127,0.7813725,0.648525852061,0.463361480266,0.477657953368,0.91266664,0.336090709647,0.616468597328,0.641110350352,0.916025615385,0.399877389381,0.394229259325,0.685566258264,0.457718658745,0.531543175197,0.725613277333,0.680766378788,0.91266664,0.45952790583,0.325849149,0.424137819527,0.632077493069,0.337256465909,0.332152149798,0.458988017945,0.900757545455,0.458976528302,0.675136159624,0.792972841954,0.632059075975,0.292678859091,0.507969069686
ONEOFF_PURCHASES_FREQUENCY,0.204549496957,0.154872368361,0.31592127995,0.441015445087,0.132839448342,0.477441615385,0.302088750846,0.311125116298,0.325540074932,0.131898972566,0.301265174757,0.302846823697,0.673039235294,0.365371125918,0.134799044353,0.313442891192,0.79866672,0.149934913729,0.386177124046,0.445340396127,0.806410307692,0.224150460177,0.20571116341,0.442551471074,0.127586805606,0.257899809547,0.520346309333,0.437451272727,0.79866672,0.129295605381,0.148158415,0.221951733728,0.323200514851,0.193993477273,0.153487130567,0.129113833401,0.843181863636,0.279506641509,0.426083514085,0.591736324713,0.319486648871,0.130680963636,0.279730202091
PURCHASES_INSTALLMENTS_FREQUENCY,0.369531945803,0.360314080396,0.385552028583,0.477292757225,0.355652570339,0.509635626374,0.37317807779,0.392400215292,0.38496006812,0.35674038466,0.377589355987,0.387240642915,0.6313725,0.45607541389,0.35708380168,0.370751196891,0.73199996,0.237230307978,0.45305345229,0.474998989437,0.742307653846,0.326217309735,0.286518145648,0.463604621901,0.35451751818,0.374659271654,0.545532472,0.459831634199,0.73199996,0.35572219201,0.222342428,0.322805,0.450902537294,0.263589647727,0.227478227733,0.355000626835,0.6954545,0.374091358491,0.455875161972,0.599682172414,0.450306399042,0.196805709091,0.395011121951
